Sample_ID,Treatment,Day,Replicate ,Microbial Load (LOG),VOC,Revalence Index,,,,,
3,TA 1,0,3,2.08,"Ethane, 1,1-dichloro-",91.77,,,,,
3,TA 1,0,3,2.08,Carbon disulfide,90.85,,,,,
3,TA 1,0,3,2.08,Methyl 2-propenoate,88.37,,,,,
3,TA 1,0,3,2.08,"Ethene, 1,2-dichloro, (Z)-",88.09,,,,,
3,TA 1,0,3,2.08,"2,2-dichloropropane",87.77,,,,,
3,TA 1,0,3,2.08,butan-2-one,87.71,,,,,
3,TA 1,0,3,2.08,Ethyl Acetate,87.59,,,,,
3,TA 1,0,3,2.08,butan-2-one,77.25,,,,,
3,TA 1,0,3,2.08,2-butanol,76.83,,,,,
3,TA 1,0,3,2.08,S(+)-2-butanol,76.44,,,,,
3,TA 1,0,3,2.08,Chloroform,76.36,,,,,
3,TA 1,0,3,2.08,Heptane,76.27,,,,,
3,TA 1,0,3,2.08,1-penten-3-one,66.43,,,,,
3,TA 1,0,3,2.08,1-methoxy-2-propanol,65.76,,,,,
3,TA 1,0,3,2.08,pent-1-en-3-ol,65.7,,,,,
3,TA 1,0,3,2.08,3-Pentanone,65.62,,,,,
3,TA 1,0,3,2.08,pentan-2-one,65.49,,,,,
3,TA 1,0,3,2.08,3-Ethylhexane,96.08,,,,,
3,TA 1,0,3,2.08,3-methylheptane,95.95,,,,,
3,TA 1,0,3,2.08,1-Chloropentane,95.08,,,,,
3,TA 1,0,3,2.08,2-Methylheptane,94.81,,,,,
3,TA 1,0,3,2.08,4-Methylheptane,94.69,,,,,
3,TA 1,0,3,2.08,pent-1-en-3-ol,88.54,,,,,
3,TA 1,0,3,2.08,pentan-2-ol,88.53,,,,,
3,TA 1,0,3,2.08,pentan-2-one,87.8,,,,,
3,TA 1,0,3,2.08,3-pentanol,87.44,,,,,
3,TA 1,0,3,2.08,"2,3-Pentanedione",86.87,,,,,
3,TA 1,0,3,2.08,ethylcyclohexane,91.02,,,,,
3,TA 1,0,3,2.08,Propylcyclopentane,89.9,,,,,
3,TA 1,0,3,2.08,3-methyl-2-butene-1-thiol,88.76,,,,,
3,TA 1,0,3,2.08,4-Ethenylcyclohexene,88.54,,,,,
3,TA 1,0,3,2.08,1-pentanethiol,88.06,,,,,
3,TA 1,0,3,2.08,3-Methylfuran,95.05,,,,,
3,TA 1,0,3,2.08,Nonane,79.88,,,,,
3,TA 1,0,3,2.08,Dibutyl ether,77.94,,,,,
3,TA 1,0,3,2.08,Acetoin,77.1,,,,,
3,TA 1,0,3,2.08,pentanol,67.38,,,,,
3,TA 1,0,3,2.08,2-hexanol,98.15,,,,,
3,TA 1,0,3,2.08,EDB,98.12,,,,,
3,TA 1,0,3,2.08,Dibromochloromethane,97.96,,,,,
3,TA 1,0,3,2.08,(Z)-3-hexenal,97.8,,,,,
3,TA 1,0,3,2.08,Hexanal,97.63,,,,,
3,TA 1,0,3,2.08,1-heptene-3-one,85.16,,,,,
3,TA 1,0,3,2.08,1-Hexanol,85.01,,,,,
3,TA 1,0,3,2.08,4-Heptanol,84.73,,,,,
3,TA 1,0,3,2.08,cis-3-Hexenol,84.43,,,,,
3,TA 1,0,3,2.08,3-Heptanone,84.19,,,,,
3,TA 1,0,3,2.08,1-Hydroxy-2-(methylthio)-ethane,81.89,,,,,
3,TA 1,0,3,2.08,furfural,81.51,,,,,
3,TA 1,0,3,2.08,2-Cyclopenten-1-one,80.86,,,,,
3,TA 1,0,3,2.08,Butanoic acid,79.79,,,,,
3,TA 1,0,3,2.08,4-Methylpentanol,78.85,,,,,
3,TA 1,0,3,2.08,heptan-2-ol,69.76,,,,,
3,TA 1,0,3,2.08,"2,6-Dimethyl-3-octene",69.69,,,,,
3,TA 1,0,3,2.08,Cyclohexanone,69.15,,,,,
3,TA 1,0,3,2.08,(Z)-4-heptenal,68.97,,,,,
3,TA 1,0,3,2.08,Heptanal,68.94,,,,,
3,TA 1,0,3,2.08,Dimethyl Sulfoxide,84.11,,,,,
3,TA 1,0,3,2.08,Hexyl acetate,78.02,,,,,
3,TA 1,0,3,2.08,"Z-3-Hexen-1-ol, acetate",77.82,,,,,
3,TA 1,0,3,2.08,"Benzene, 1,4-dichloro-",77.82,,,,,
3,TA 1,0,3,2.08,"1,3-Dichlorobenzene",77.78,,,,,
3,TA 1,0,3,2.08,1-Octen-3-ol,78.88,,,,,
3,TA 1,0,3,2.08,"1,5-octadienone",78.71,,,,,
3,TA 1,0,3,2.08,octadienone,78.68,,,,,
3,TA 1,0,3,2.08,"2,3-Octanedione",78.5,,,,,
3,TA 1,0,3,2.08,2-Octanone,78.44,,,,,
3,TA 1,0,3,2.08,terpinolene,97.27,,,,,
3,TA 1,0,3,2.08,Undecane,95.91,,,,,
3,TA 1,0,3,2.08,gamma-Terpinene,94.96,,,,,
3,TA 1,0,3,2.08,Butylbenzene,94.52,,,,,
3,TA 1,0,3,2.08,cis-Decalin,94.25,,,,,
3,TA 1,0,3,2.08,Methyl cyclohexanecarboxylate,98.21,,,,,
3,TA 1,0,3,2.08,benzeneacetaldehyde,97.5,,,,,
3,TA 1,0,3,2.08,Glycerol,97.25,,,,,
3,TA 1,0,3,2.08,Acetophenone,96.57,,,,,
3,TA 1,0,3,2.08,Hexanoic acid,96.19,,,,,
3,TA 1,0,3,2.08,ethyl 3-(methylthio)propanoate,95.71,,,,,
3,TA 1,0,3,2.08,Fenchol,95.66,,,,,
3,TA 1,0,3,2.08,n-nonanal,95.59,,,,,
3,TA 1,0,3,2.08,Ethyl cyclohexanecarboxylate,95.17,,,,,
3,TA 1,0,3,2.08,Limonene oxide,95.15,,,,,
3,TA 1,0,3,2.08,m-cresol,96.44,,,,,
3,TA 1,0,3,2.08,p-Cresol,76.39,,,,,
3,TA 1,0,3,2.08,delta-Hexalactone,75.61,,,,,
3,TA 1,0,3,2.08,"1,2-Dibromo-3-Chloropropane",75.43,,,,,
3,TA 1,0,3,2.08,Methyl salicylate,67.33,,,,,
3,TA 1,0,3,2.08,5-ethyl-3-hydroxy-4-methyl-2(5H)-furanone,80.87,,,,,
3,TA 1,0,3,2.08,Tetradecane,67.52,,,,,
3,TA 1,0,3,2.08,E-Tetradec-7-ene,67.35,,,,,
3,TA 1,0,3,2.08,"2,6-Dichlorophenol",63.7,,,,,
3,TA 1,0,3,2.08,ethyl maltol,63.67,,,,,
3,TA 1,0,3,2.08,2-Dodecanone,90.57,,,,,
3,TA 1,0,3,2.08,propionic acid nonyl ester,90.13,,,,,
3,TA 1,0,3,2.08,Decyl acetate,90.04,,,,,
3,TA 1,0,3,2.08,dodecanal,90.04,,,,,
3,TA 1,0,3,2.08,4-Dodecanol,89.88,,,,,
3,TA 1,0,3,2.08,alpha-Selinene,94.44,,,,,
3,TA 1,0,3,2.08,heptyl hexanoate,94.33,,,,,
3,TA 1,0,3,2.08,"Nonanoic acid, butyl ester",94.16,,,,,
3,TA 1,0,3,2.08,"Heptanoic acid, hexyl ester",94.15,,,,,
3,TA 1,0,3,2.08,Octyl pentanoate,93.78,,,,,
4,TA 1,0,3,1.95,Trimethylamine,61.02,,,,,
4,TA 1,0,3,1.95,Butane,59.67,,,,,
4,TA 1,0,3,1.95,Trimethylamine,11.85,,,,,
4,TA 1,0,3,1.95,Pentane,58.84,,,,,
4,TA 1,0,3,1.95,Acetaldehyde,45.82,,,,,
4,TA 1,0,3,1.95,Methanol,44.06,,,,,
4,TA 1,0,3,1.95,Methanethiol,43.87,,,,,
4,TA 1,0,3,1.95,2-Methylbutane,42.8,,,,,
4,TA 1,0,3,1.95,Acetaldehyde,87.53,,,,,
4,TA 1,0,3,1.95,Methanol,87.28,,,,,
4,TA 1,0,3,1.95,Methanethiol,83.19,,,,,
4,TA 1,0,3,1.95,Pentane,82.12,,,,,
4,TA 1,0,3,1.95,2-Methylbutane,81.16,,,,,
4,TA 1,0,3,1.95,ethyl chloride,45.94,,,,,
4,TA 1,0,3,1.95,ethanol,45.48,,,,,
4,TA 1,0,3,1.95,Furan,34.71,,,,,
4,TA 1,0,3,1.95,Diethyl ether,34.25,,,,,
4,TA 1,0,3,1.95,Methyl chloride, ,,,,,
4,TA 1,0,3,1.95,Propanal,95.14,,,,,
4,TA 1,0,3,1.95,Propenal,94.93,,,,,
4,TA 1,0,3,1.95,ethyl chloride,93.78,,,,,
4,TA 1,0,3,1.95,ethanol,92.52,,,,,
4,TA 1,0,3,1.95,propan-2-one,90.62,,,,,
4,TA 1,0,3,1.95,Methyl acetate,83.11,,,,,
4,TA 1,0,3,1.95,dimethyl sulfide,81.53,,,,,
4,TA 1,0,3,1.95,propan-2-one,81.42,,,,,
4,TA 1,0,3,1.95,2-propanol,79.02,,,,,
4,TA 1,0,3,1.95,2-Methyl-2-propanol,78.95,,,,,
4,TA 1,0,3,1.95,Ethyl Acetate,50.36,,,,,
4,TA 1,0,3,1.95,"2,2-dichloropropane",50.25,,,,,
4,TA 1,0,3,1.95,1-propanethiol,50.13,,,,,
4,TA 1,0,3,1.95,"Ethene, 1,2-dichloro, (Z)-",49.76,,,,,
4,TA 1,0,3,1.95,Methyl 2-propenoate,49.76,,,,,
4,TA 1,0,3,1.95,"Ethene, 1,2-dichloro, (Z)-",66.36,,,,,
4,TA 1,0,3,1.95,Methyl 2-propenoate,66.35,,,,,
4,TA 1,0,3,1.95,1-propanethiol,66.27,,,,,
4,TA 1,0,3,1.95,Ethyl Acetate,65.98,,,,,
4,TA 1,0,3,1.95,"2,2-dichloropropane",65.26,,,,,
4,TA 1,0,3,1.95,butan-2-one,84.28,,,,,
4,TA 1,0,3,1.95,2-butanol,84.1,,,,,
4,TA 1,0,3,1.95,S(+)-2-butanol,83.67,,,,,
4,TA 1,0,3,1.95,Methyl 2-propenoate,82.53,,,,,
4,TA 1,0,3,1.95,"Ethene, 1,2-dichloro, (Z)-",82.51,,,,,
4,TA 1,0,3,1.95,3-Ethylhexane,66.39,,,,,
4,TA 1,0,3,1.95,3-methylheptane,66.36,,,,,
4,TA 1,0,3,1.95,2-Methylheptane,65.33,,,,,
4,TA 1,0,3,1.95,4-Methylheptane,65.24,,,,,
4,TA 1,0,3,1.95,1-Chloropentane,63.37,,,,,
4,TA 1,0,3,1.95,Nonane,51.3,,,,,
4,TA 1,0,3,1.95,1-hexen-3-ol,50.66,,,,,
4,TA 1,0,3,1.95,pentanol,50.53,,,,,
4,TA 1,0,3,1.95,(E)-2-penten-1-ol,50.43,,,,,
4,TA 1,0,3,1.95,"Ethane, 1,1,2-trichloro-",50.1,,,,,
4,TA 1,0,3,1.95,2-hexanol,86.5,,,,,
4,TA 1,0,3,1.95,EDB,86.5,,,,,
4,TA 1,0,3,1.95,Dibromochloromethane,86.16,,,,,
4,TA 1,0,3,1.95,3-hexanol,86.02,,,,,
4,TA 1,0,3,1.95,(Z)-3-hexenal,86.01,,,,,
4,TA 1,0,3,1.95,2-methylpropanoic acid,95.1,,,,,
4,TA 1,0,3,1.95,"Formamide, N,N-dimethyl-",93.09,,,,,
4,TA 1,0,3,1.95,"2,3-Butanediol",92.67,,,,,
4,TA 1,0,3,1.95,Butyl 2-propenoate,92.67,,,,,
4,TA 1,0,3,1.95,"2-Pentanone, 3-mercapto-",92.56,,,,,
4,TA 1,0,3,1.95,pentanoic acid,81.22,,,,,
4,TA 1,0,3,1.95,3-mercapto-4-methyl-2-pentanone,77.96,,,,,
4,TA 1,0,3,1.95,Undecane,66.35,,,,,
4,TA 1,0,3,1.95,terpinolene,64.92,,,,,
4,TA 1,0,3,1.95,4-Octanol, ,,,,,
4,TA 1,0,3,1.95,2-(5H)-Furanone,89.37,,,,,
4,TA 1,0,3,1.95,cis-Decalin,76.11,,,,,
4,TA 1,0,3,1.95,Undecane,75.3,,,,,
4,TA 1,0,3,1.95,terpinolene,75.29,,,,,
4,TA 1,0,3,1.95,2-Isopropyl-3-methoxypyrazine,74.57,,,,,
4,TA 1,0,3,1.95,"2-Butenoic acid, pentyl ester",90.51,,,,,
4,TA 1,0,3,1.95,Ethyl cyclohexanecarboxylate,90.27,,,,,
4,TA 1,0,3,1.95,Limonene oxide,89.99,,,,,
4,TA 1,0,3,1.95,(Z)-3-Hexenyl isobutyrate,89.97,,,,,
4,TA 1,0,3,1.95,Hexyl isobutyrate,89.58,,,,,
4,TA 1,0,3,1.95,"1,3,8 para-Menthatriene",97.34,,,,,
4,TA 1,0,3,1.95,Sotolon,97.18,,,,,
4,TA 1,0,3,1.95,"Phenol, 2,6-dimethyl-",97.03,,,,,
4,TA 1,0,3,1.95,homofuraneol,96.72,,,,,
4,TA 1,0,3,1.95,"1,2-Dibromo-3-Chloropropane",96.6,,,,,
4,TA 1,0,3,1.95,undecan-2-one,92.52,,,,,
4,TA 1,0,3,1.95,2-Undecanol,92.12,,,,,
4,TA 1,0,3,1.95,Undecanal,92.11,,,,,
4,TA 1,0,3,1.95,3-Undecanol,92.04,,,,,
4,TA 1,0,3,1.95,"2-Propenoic acid, 2-methylheptyl ester",91.74,,,,,
4,TA 1,0,3,1.95,"Tetradecane, 7-methyl",90.49,,,,,
4,TA 1,0,3,1.95,Tetradecane,90.34,,,,,
4,TA 1,0,3,1.95,"Quinoxaline, 2-methyl-",69.31,,,,,
4,TA 1,0,3,1.95,3-Undecanol,69.07,,,,,
4,TA 1,0,3,1.95,"2,4-Decadienal, (E,Z)-",69.05,,,,,
4,TA 1,0,3,1.95,pentadecane,95.5,,,,,
4,TA 1,0,3,1.95,Cinnamaldehyde,93.16,,,,,
4,TA 1,0,3,1.95,Thymol,92.78,,,,,
4,TA 1,0,3,1.95,delta-octalactone,91.83,,,,,
4,TA 1,0,3,1.95,4-vinylguaiacol,91.77,,,,,
4,TA 1,0,3,1.95,Butylate,81.24,,,,,
4,TA 1,0,3,1.95,1-Undecylthiol,81.21,,,,,
4,TA 1,0,3,1.95,octyl crotonate,81.21,,,,,
4,TA 1,0,3,1.95,Methyl undecanoate,80.89,,,,,
4,TA 1,0,3,1.95,2-Dodecanol,80.86,,,,,
5,TA 1,0,3,2.04,Trimethylamine,15.74,,,,,
5,TA 1,0,3,2.04,Acetaldehyde,28.78,,,,,
5,TA 1,0,3,2.04,Methanethiol,28.62,,,,,
5,TA 1,0,3,2.04,2-Methylbutane,27.41,,,,,
5,TA 1,0,3,2.04,Methyl formate,23.63,,,,,
5,TA 1,0,3,2.04,Trimethylamine,23.17,,,,,
5,TA 1,0,3,2.04,Acetaldehyde,55.67,,,,,
5,TA 1,0,3,2.04,Methanol,53.54,,,,,
5,TA 1,0,3,2.04,Methanethiol,53.36,,,,,
5,TA 1,0,3,2.04,2-Methylbutane,52.06,,,,,
5,TA 1,0,3,2.04,Methyl formate,13.25,,,,,
5,TA 1,0,3,2.04,2-methylpentane,78.34,,,,,
5,TA 1,0,3,2.04,ethyl chloride,61.09,,,,,
5,TA 1,0,3,2.04,ethanol,60.47,,,,,
5,TA 1,0,3,2.04,Diethyl ether,5.94,,,,,
5,TA 1,0,3,2.04,Furan,5.77,,,,,
5,TA 1,0,3,2.04,Propanal,96.09,,,,,
5,TA 1,0,3,2.04,Propenal,95.87,,,,,
5,TA 1,0,3,2.04,ethyl chloride,94.11,,,,,
5,TA 1,0,3,2.04,ethanol,93.44,,,,,
5,TA 1,0,3,2.04,propan-2-one,91.61,,,,,
5,TA 1,0,3,2.04,Methyl acetate,73.98,,,,,
5,TA 1,0,3,2.04,dimethyl sulfide,72.01,,,,,
5,TA 1,0,3,2.04,propan-2-one,71.65,,,,,
5,TA 1,0,3,2.04,2-propanol,70.34,,,,,
5,TA 1,0,3,2.04,2-Methyl-2-propanol,70.28,,,,,
5,TA 1,0,3,2.04,"Ethene, 1,2-dichloro, (Z)-",37.66,,,,,
5,TA 1,0,3,2.04,Methyl 2-propenoate,37.55,,,,,
5,TA 1,0,3,2.04,1-propanethiol,37.52,,,,,
5,TA 1,0,3,2.04,Ethyl Acetate,37.22,,,,,
5,TA 1,0,3,2.04,Chloroform,37.12,,,,,
5,TA 1,0,3,2.04,2-butanol,80.01,,,,,
5,TA 1,0,3,2.04,butan-2-one,79.71,,,,,
5,TA 1,0,3,2.04,Chloroform,79.61,,,,,
5,TA 1,0,3,2.04,S(+)-2-butanol,79.61,,,,,
5,TA 1,0,3,2.04,"Methane, bromochloro-",79.31,,,,,
5,TA 1,0,3,2.04,Octane,42.14,,,,,
5,TA 1,0,3,2.04,1-Octene,41.51,,,,,
5,TA 1,0,3,2.04,acetic acid,14.14,,,,,
5,TA 1,0,3,2.04,Formic acid,12.37,,,,,
5,TA 1,0,3,2.04,Nonane,43.34,,,,,
5,TA 1,0,3,2.04,Dibutyl ether,42.28,,,,,
5,TA 1,0,3,2.04,Hexanal,40.5,,,,,
5,TA 1,0,3,2.04,(Z)-3-hexenal,40.43,,,,,
5,TA 1,0,3,2.04,Propylacrylate,40.39,,,,,
5,TA 1,0,3,2.04,Nonane,69.98,,,,,
5,TA 1,0,3,2.04,Dibutyl ether,68.28,,,,,
5,TA 1,0,3,2.04,"1,1,1,2-tetrachloroethane",67.81,,,,,
5,TA 1,0,3,2.04,2-hexanol,64.25,,,,,
5,TA 1,0,3,2.04,EDB,64.25,,,,,
5,TA 1,0,3,2.04,"2-Pentanone, 3-mercapto-",93.36,,,,,
5,TA 1,0,3,2.04,Butyl 2-propenoate,93.36,,,,,
5,TA 1,0,3,2.04,Butyl propanoate,93.05,,,,,
5,TA 1,0,3,2.04,Propyl 2-methyl-2-propenoate,93,,,,,
5,TA 1,0,3,2.04,Pentyl acetate,92.71,,,,,
5,TA 1,0,3,2.04,pentanoic acid,99.34,,,,,
5,TA 1,0,3,2.04,3-mercapto-4-methyl-2-pentanone,95.23,,,,,
5,TA 1,0,3,2.04,Undecane,71.19,,,,,
5,TA 1,0,3,2.04,terpinolene,70.5,,,,,
5,TA 1,0,3,2.04,3-Methyldecane,69.76,,,,,
5,TA 1,0,3,2.04,terpinolene,95.5,,,,,
5,TA 1,0,3,2.04,cis-Decalin,94.45,,,,,
5,TA 1,0,3,2.04,Undecane,94.38,,,,,
5,TA 1,0,3,2.04,2-Isopropyl-3-methoxypyrazine,94.06,,,,,
5,TA 1,0,3,2.04,"2-Ethyl-5,6-dimethylpyrazine",93.82,,,,,
5,TA 1,0,3,2.04,Tridecane,96.41,,,,,
5,TA 1,0,3,2.04,delta-Hexalactone,57.29,,,,,
5,TA 1,0,3,2.04,m-cresol,56.43,,,,,
5,TA 1,0,3,2.04,p-Cresol,56.42,,,,,
5,TA 1,0,3,2.04,Triethyl phosphate,56.2,,,,,
5,TA 1,0,3,2.04,"1,2-Dibromo-3-Chloropropane",95.4,,,,,
5,TA 1,0,3,2.04,p-Cresol,94.48,,,,,
5,TA 1,0,3,2.04,delta-Hexalactone,94.26,,,,,
5,TA 1,0,3,2.04,m-cresol,94.12,,,,,
5,TA 1,0,3,2.04,Sotolon,93.12,,,,,
5,TA 1,0,3,2.04,Tetradecane,99.28,,,,,
5,TA 1,0,3,2.04,E-Tetradec-7-ene,99.03,,,,,
5,TA 1,0,3,2.04,1-Decanethiol,56.11,,,,,
5,TA 1,0,3,2.04,Methyl decanoate,56.09,,,,,
5,TA 1,0,3,2.04,Undecanal,55.85,,,,,
5,TA 1,0,3,2.04,"Tetradecane, 7-methyl",93.22,,,,,
5,TA 1,0,3,2.04,Tetradecane,84.95,,,,,
5,TA 1,0,3,2.04,E-Tetradec-7-ene,84.74,,,,,
5,TA 1,0,3,2.04,"1,3-Cyclopentadiene, 1,2,3,4,5,5-hexachloro-",46.39,,,,,
5,TA 1,0,3,2.04,Anethole,46.13,,,,,
5,TA 1,0,3,2.04,3-Methyltetradecane,97.35,,,,,
5,TA 1,0,3,2.04,decanoic acid,79.23,,,,,
5,TA 1,0,3,2.04,"1,2,3-Trimethoxybenzene",78.91,,,,,
5,TA 1,0,3,2.04,"1,2-Benzenediol",78.88,,,,,
5,TA 1,0,3,2.04,"2,4-Decadienal, (E,E)-",78.87,,,,,
5,TA 1,0,3,2.04,pentadecane,94.6,,,,,
5,TA 1,0,3,2.04,alpha-Himachalene,92.16,,,,,
5,TA 1,0,3,2.04,3-Ethyltridecane,91.73,,,,,
5,TA 1,0,3,2.04,4-Methyltetradecane,91.54,,,,,
5,TA 1,0,3,2.04,n-Octylcyclohexane,91.5,,,,,
5,TA 1,0,3,2.04,2-Dodecanone,88.26,,,,,
5,TA 1,0,3,2.04,propionic acid nonyl ester,88.16,,,,,
5,TA 1,0,3,2.04,Decyl acetate,88.07,,,,,
5,TA 1,0,3,2.04,dodecanal,87.74,,,,,
5,TA 1,0,3,2.04,4-Dodecanol,87.7,,,,,
5,TA 1,0,3,2.04,n-Octylbenzene,95.33,,,,,
5,TA 1,0,3,2.04,octyl crotonate,95.14,,,,,
5,TA 1,0,3,2.04,alpha-Himachalene,94.82,,,,,
5,TA 1,0,3,2.04,3-Methyltetradecane,94.19,,,,,
5,TA 1,0,3,2.04,pentadecane,91.58,,,,,
5,TA 1,0,3,2.04,tridecanal,98.7,,,,,
5,TA 1,0,3,2.04,2-tridecanol,98.04,,,,,
5,TA 1,0,3,2.04,Undecyl acetate,97.99,,,,,
5,TA 1,0,3,2.04,Methyl dodecanoate,97.96,,,,,
5,TA 1,0,3,2.04,3-Tridecanol,97.8,,,,,
6,TA 1,0,3,2.26,Trimethylamine,11.29,,,,,
6,TA 1,0,3,2.26,Methyl formate,20.74,,,,,
6,TA 1,0,3,2.26,Trimethylamine,20.55,,,,,
6,TA 1,0,3,2.26,Acetaldehyde,20.36,,,,,
6,TA 1,0,3,2.26,Methanethiol,20.27,,,,,
6,TA 1,0,3,2.26,2-Methylbutane,0.04,,,,,
6,TA 1,0,3,2.26,Acetaldehyde,47.91,,,,,
6,TA 1,0,3,2.26,Methanethiol,46.07,,,,,
6,TA 1,0,3,2.26,Methanol,46.07,,,,,
6,TA 1,0,3,2.26,2-Methylbutane,44.94,,,,,
6,TA 1,0,3,2.26,Methyl formate,9.66,,,,,
6,TA 1,0,3,2.26,Methanol,63.43,,,,,
6,TA 1,0,3,2.26,Acetaldehyde,61,,,,,
6,TA 1,0,3,2.26,Methyl formate,60.56,,,,,
6,TA 1,0,3,2.26,Methanethiol,6.85,,,,,
6,TA 1,0,3,2.26,Pentane,0.7,,,,,
6,TA 1,0,3,2.26,Propanal,95.32,,,,,
6,TA 1,0,3,2.26,Propenal,95.11,,,,,
6,TA 1,0,3,2.26,ethyl chloride,93.87,,,,,
6,TA 1,0,3,2.26,ethanol,92.69,,,,,
6,TA 1,0,3,2.26,propan-2-one,90.7,,,,,
6,TA 1,0,3,2.26,Methyl acetate,98.64,,,,,
6,TA 1,0,3,2.26,dimethyl sulfide,96.85,,,,,
6,TA 1,0,3,2.26,propan-2-one,96.81,,,,,
6,TA 1,0,3,2.26,2-propanol,93.79,,,,,
6,TA 1,0,3,2.26,2-Methyl-2-propanol,93.71,,,,,
6,TA 1,0,3,2.26,"2,2,4-Trimethylpentane",53.13,,,,,
6,TA 1,0,3,2.26,3-Ethylpentane,53.11,,,,,
6,TA 1,0,3,2.26,Heptane,52.97,,,,,
6,TA 1,0,3,2.26,Hexamethyldisiloxane,52.42,,,,,
6,TA 1,0,3,2.26,3-Methylhexane,51.8,,,,,
6,TA 1,0,3,2.26,"butane-2,3-dione",90.72,,,,,
6,TA 1,0,3,2.26,S(+)-2-butanol,89.26,,,,,
6,TA 1,0,3,2.26,Butanal,88.58,,,,,
6,TA 1,0,3,2.26,3-Buten-2-one,87.86,,,,,
6,TA 1,0,3,2.26,Carbon disulfide,84.94,,,,,
6,TA 1,0,3,2.26,Pentanal,84.88,,,,,
6,TA 1,0,3,2.26,"1,2-Dichloropropane",84.63,,,,,
6,TA 1,0,3,2.26,Ethyl acrylate,84.42,,,,,
6,TA 1,0,3,2.26,3-Pentanone,83.73,,,,,
6,TA 1,0,3,2.26,Dibromomethane,83.43,,,,,
6,TA 1,0,3,2.26,"2,3-Pentanedione",73.12,,,,,
6,TA 1,0,3,2.26,Methyl butanoate,72.83,,,,,
6,TA 1,0,3,2.26,Dibromomethane,72.74,,,,,
6,TA 1,0,3,2.26,"Methane, bromodichloro-",72.34,,,,,
6,TA 1,0,3,2.26,Pentanal,72.32,,,,,
6,TA 1,0,3,2.26,1-hexen-3-ol,71.08,,,,,
6,TA 1,0,3,2.26,pentanol,71.06,,,,,
6,TA 1,0,3,2.26,(E)-2-penten-1-ol,70.99,,,,,
6,TA 1,0,3,2.26,"Ethane, 1,1,2-trichloro-",70.3,,,,,
6,TA 1,0,3,2.26,"Propane, 1,3-dichloro-",70.12,,,,,
6,TA 1,0,3,2.26,2-hexanol,95.69,,,,,
6,TA 1,0,3,2.26,EDB,95.63,,,,,
6,TA 1,0,3,2.26,Dibromochloromethane,95.42,,,,,
6,TA 1,0,3,2.26,(Z)-3-hexenal,95.25,,,,,
6,TA 1,0,3,2.26,3-hexanol,95.17,,,,,
6,TA 1,0,3,2.26,Heptanal,98.09,,,,,
6,TA 1,0,3,2.26,(Z)-4-heptenal,97.83,,,,,
6,TA 1,0,3,2.26,Propyl 2-methyl-2-propenoate,97.81,,,,,
6,TA 1,0,3,2.26,4-Methoxy-2-methyl-2-mercaptobutane,97.78,,,,,
6,TA 1,0,3,2.26,"2-Pentanone, 3-mercapto-",97.72,,,,,
6,TA 1,0,3,2.26,pentanoic acid,36.59,,,,,
6,TA 1,0,3,2.26,3-mercapto-4-methyl-2-pentanone,36.38,,,,,
6,TA 1,0,3,2.26,1-Octen-3-ol,35.58,,,,,
6,TA 1,0,3,2.26,"1,5-octadienone",35.48,,,,,
6,TA 1,0,3,2.26,octadienone,35.45,,,,,
6,TA 1,0,3,2.26,2-(5H)-Furanone,69.8,,,,,
6,TA 1,0,3,2.26,3-Octanol,69.26,,,,,
6,TA 1,0,3,2.26,"(E,Z)-2,4-Heptadienal",69.06,,,,,
6,TA 1,0,3,2.26,5-Methylfurfural,68.93,,,,,
6,TA 1,0,3,2.26,3-methyl-3-sulfanylbutanol-1-ol,68.85,,,,,
6,TA 1,0,3,2.26,"1,2,4-Trichlorobenzene",71.32,,,,,
6,TA 1,0,3,2.26,dodecane,71.07,,,,,
6,TA 1,0,3,2.26,2-Isobutyl-3-methoxypyrazine,70.1,,,,,
6,TA 1,0,3,2.26,2-Methoxy-3-(1-methylpropyl)pyrazine,69.85,,,,,
6,TA 1,0,3,2.26,E-2-Nonen-1-ol,68.78,,,,,
6,TA 1,0,3,2.26,n-Hexylbenzene,84.87,,,,,
6,TA 1,0,3,2.26,1-p-menthen-8-thiol,84.77,,,,,
6,TA 1,0,3,2.26,(R)-linden ether,84.2,,,,,
6,TA 1,0,3,2.26,Tridecane,84.18,,,,,
6,TA 1,0,3,2.26,Methyl salicylate,12.15,,,,,
6,TA 1,0,3,2.26,Tetradecane,79.41,,,,,
6,TA 1,0,3,2.26,E-Tetradec-7-ene,79.22,,,,,
6,TA 1,0,3,2.26,"2,6-dimethoxy-phenol",78.37,,,,,
6,TA 1,0,3,2.26,"N,N-dimethylacetamide",78.32,,,,,
6,TA 1,0,3,2.26,(Z)-3-Phenyl-2-propenal,77.65,,,,,
6,TA 1,0,3,2.26,Tetradecane,91.66,,,,,
6,TA 1,0,3,2.26,E-Tetradec-7-ene,91.43,,,,,
6,TA 1,0,3,2.26,"Tetradecane, 7-methyl",89.14,,,,,
6,TA 1,0,3,2.26,5-ethyl-3-hydroxy-4-methyl-2(5H)-furanone,56,,,,,
6,TA 1,0,3,2.26,ethyl maltol,54.87,,,,,
6,TA 1,0,3,2.26,Methyl undecanoate,93.5,,,,,
6,TA 1,0,3,2.26,octyl crotonate,93.25,,,,,
6,TA 1,0,3,2.26,1-Undecylthiol,93.22,,,,,
6,TA 1,0,3,2.26,2-Dodecanol,92.7,,,,,
